time,sex,vegan,rest,games,series,books,child_offence_Разве что по делу,child_offence_Часто,dvach_Не знаю,dvach_Ненавижу Абу,dvach_Паблик в вк,gender_Би,gender_Гетеро,antisemetism_Нет,antisemetism_Я просто боюсь евреев,subject_Иностранные языки,subject_Информатика,subject_История,subject_Литература,subject_Матеша,subject_Физика,subject_Химия,crimea_Отрицательно,crimea_Положительно,english_Нормально,english_Оригатоё гайзаймас,english_Отлично,english_Хорошо,"english_Чуть лучше, чем ничего",putin_good,rebel,Детектив,Аниме,Драма,Комедия,Исторический фильм,Трагедия,Фантастика,Фильм ужасов,Боевик,Мелодрама
2019-10-06 11:02:50,1,3,1,0,3,4,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-10-06 11:05:40,1,1,0,0,3,5,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
2019-10-06 11:10:37,1,0,1,0,2,5,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2019-10-06 11:20:21,1,2,0,0,5,5,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
2019-10-06 11:22:51,0,1,0,3,3,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2019-10-06 11:50:31,0,1,1,7,5,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
2019-10-06 12:06:54,1,0,1,4,7,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
2019-10-06 12:11:20,1,2,0,0,7,7,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1
2019-10-06 12:13:58,0,1,1,6,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
2019-10-06 12:42:26,0,3,0,2,1,5,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
2019-10-06 12:44:59,1,4,0,0,7,7,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
2019-10-06 12:48:38,0,2,1,4,3,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0
2019-10-06 12:48:50,0,0,1,1,4,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
